graph_id,vertices,edges,density,variant,src,sink,total_ops,relaxations,time_ms,path_length
1,6,10,sparse,one_cycle,3,0,15,5,0.004,17.10
2,8,15,sparse,one_cycle,1,0,11,1,0.003,5.80
3,10,30,sparse,one_cycle,0,0,11,0,0.002,0.00
4,12,26,sparse,mixed,4,0,22,5,0.004,12.30
5,16,44,sparse,one_cycle,1,0,19,1,0.002,5.60
6,20,72,sparse,one_cycle,1,0,23,1,0.009,5.40
7,25,83,sparse,one_cycle,2,0,32,3,0.003,9.40
8,35,196,sparse,one_cycle,0,0,36,0,0.001,0.00
9,50,396,sparse,one_cycle,1,0,53,1,0.002,2.40
1,6,16,dense,one_cycle,0,0,7,0,0.002,0.00
2,8,29,dense,one_cycle,0,0,9,0,0.002,0.00
3,10,57,dense,one_cycle,0,0,11,0,0.002,0.00
4,12,76,dense,one_cycle,0,0,13,0,0.001,0.00
5,16,133,dense,one_cycle,0,0,17,0,0.002,0.00
6,20,225,dense,one_cycle,0,0,21,0,0.001,0.00
7,25,332,dense,one_cycle,0,0,26,0,0.001,0.00
8,35,602,dense,one_cycle,0,0,36,0,0.001,0.00
9,50,1225,dense,one_cycle,0,0,51,0,0.001,0.00
