graph_id,vertices,edges,density,variant,topo_len,queue_ops,time_ms
1,6,10,sparse,one_cycle,4,4,0.295
2,8,15,sparse,one_cycle,2,2,0.005
3,10,30,sparse,one_cycle,1,1,0.004
4,12,26,sparse,mixed,5,5,0.006
5,16,44,sparse,one_cycle,2,2,0.008
6,20,72,sparse,one_cycle,2,2,0.003
7,25,83,sparse,one_cycle,4,4,0.010
8,35,196,sparse,one_cycle,1,1,0.003
9,50,396,sparse,one_cycle,2,2,0.003
1,6,16,dense,one_cycle,1,1,0.003
2,8,29,dense,one_cycle,1,1,0.006
3,10,57,dense,one_cycle,1,1,0.003
4,12,76,dense,one_cycle,1,1,0.002
5,16,133,dense,one_cycle,1,1,0.002
6,20,225,dense,one_cycle,1,1,0.002
7,25,332,dense,one_cycle,1,1,0.002
8,35,602,dense,one_cycle,1,1,0.002
9,50,1225,dense,one_cycle,1,1,0.002
